ID,location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2700,Hungary,25/06/2021,60-69,76.32,71.33
2701,Hungary,25/06/2021,70-79,85.25,81.65
2702,Hungary,25/06/2021,80+,74.33,71.01
2703,Hungary,2/07/2021,18-24,46.49,38.39
2704,Hungary,2/07/2021,25-49,58.76,51.84
2705,Hungary,2/07/2021,50-59,69.08,63.91
2706,Hungary,2/07/2021,60-69,76.49,72.67
2707,Hungary,2/07/2021,70-79,85.35,82.36
2708,Hungary,2/07/2021,80+,74.42,71.56
2709,Hungary,9/07/2021,18-24,46.83,40.4
2710,Hungary,9/07/2021,25-49,59.09,53.76
2711,Hungary,9/07/2021,50-59,69.35,65.51
2712,Hungary,9/07/2021,60-69,76.66,73.61
2713,Hungary,9/07/2021,70-79,85.46,82.96
2714,Hungary,9/07/2021,80+,74.49,72.04
2715,Hungary,16/07/2021,18-24,47.14,42.02
2716,Hungary,16/07/2021,25-49,59.41,55.21
2717,Hungary,16/07/2021,50-59,69.65,66.65
2718,Hungary,16/07/2021,60-69,76.85,74.29
2719,Hungary,16/07/2021,70-79,85.56,83.41
2720,Hungary,16/07/2021,80+,74.59,72.37
2721,Hungary,23/07/2021,18-24,47.4,43
2722,Hungary,23/07/2021,25-49,59.7,56.04
2723,Hungary,23/07/2021,50-59,69.95,67.3
2724,Hungary,23/07/2021,60-69,77.03,74.69
2725,Hungary,23/07/2021,70-79,85.67,83.67
2726,Hungary,23/07/2021,80+,74.67,72.56
2727,Hungary,30/07/2021,18-24,47.7,44.03
2728,Hungary,30/07/2021,25-49,60.02,56.92
2729,Hungary,30/07/2021,50-59,70.25,67.84
2730,Hungary,30/07/2021,60-69,77.19,74.96
2731,Hungary,30/07/2021,70-79,85.76,83.83
2732,Hungary,30/07/2021,80+,74.75,72.67
2733,Hungary,6/08/2021,18-24,47.97,44.39
2734,Hungary,6/08/2021,25-49,60.29,57.27
2735,Hungary,6/08/2021,50-59,70.5,68.14
2736,Hungary,6/08/2021,60-69,77.33,75.15
2737,Hungary,6/08/2021,70-79,85.85,83.95
2738,Hungary,6/08/2021,80+,74.84,72.77
2739,Hungary,13/08/2021,18-24,48.26,44.71
2740,Hungary,13/08/2021,25-49,60.61,57.59
2741,Hungary,13/08/2021,50-59,70.82,68.43
2742,Hungary,13/08/2021,60-69,77.52,75.34
2743,Hungary,13/08/2021,70-79,85.99,84.09
2744,Hungary,13/08/2021,80+,75,72.91
2745,Hungary,20/08/2021,18-24,48.46,44.92
2746,Hungary,20/08/2021,25-49,60.85,57.82
2747,Hungary,20/08/2021,50-59,71.07,68.65
2748,Hungary,20/08/2021,60-69,77.69,75.48
2749,Hungary,20/08/2021,70-79,86.11,84.21
2750,Hungary,20/08/2021,80+,75.15,73.02
2751,Hungary,27/08/2021,18-24,48.78,45.23
2752,Hungary,27/08/2021,25-49,61.21,58.16
2753,Hungary,27/08/2021,50-59,71.43,68.98
2754,Hungary,27/08/2021,60-69,77.91,75.67
2755,Hungary,27/08/2021,70-79,86.27,84.37
2756,Hungary,27/08/2021,80+,75.34,73.17
2757,Hungary,3/09/2021,18-24,49.17,45.5
2758,Hungary,3/09/2021,25-49,61.51,58.45
2759,Hungary,3/09/2021,50-59,71.73,69.26
2760,Hungary,3/09/2021,60-69,78.12,75.87
2761,Hungary,3/09/2021,70-79,86.44,84.55
2762,Hungary,3/09/2021,80+,75.56,73.38
2763,Hungary,10/09/2021,18-24,49.45,45.73
2764,Hungary,10/09/2021,25-49,61.78,58.72
2765,Hungary,10/09/2021,50-59,71.98,69.53
2766,Hungary,10/09/2021,60-69,78.3,76.07
2767,Hungary,10/09/2021,70-79,86.6,84.74
2768,Hungary,10/09/2021,80+,75.76,73.59
2769,Hungary,17/09/2021,18-24,49.68,45.98
2770,Hungary,17/09/2021,25-49,62.01,58.99
2771,Hungary,17/09/2021,50-59,72.21,69.81
2772,Hungary,17/09/2021,60-69,78.47,76.27
2773,Hungary,17/09/2021,70-79,86.74,84.93
2774,Hungary,17/09/2021,80+,75.94,73.8
2775,Hungary,24/09/2021,18-24,49.9,46.3
2776,Hungary,24/09/2021,25-49,62.21,59.29
2777,Hungary,24/09/2021,50-59,72.4,70.1
2778,Hungary,24/09/2021,60-69,78.61,76.49
2779,Hungary,24/09/2021,70-79,86.85,85.12
2780,Hungary,24/09/2021,80+,76.07,74.06
2781,Hungary,1/10/2021,18-24,50.13,46.62
2782,Hungary,1/10/2021,25-49,62.41,59.56
2783,Hungary,1/10/2021,50-59,72.58,70.38
2784,Hungary,1/10/2021,60-69,78.74,76.69
2785,Hungary,1/10/2021,70-79,86.96,85.29
2786,Hungary,1/10/2021,80+,76.2,74.27
2787,Hungary,8/10/2021,18-24,50.36,46.87
2788,Hungary,8/10/2021,25-49,62.6,59.8
2789,Hungary,8/10/2021,50-59,72.74,70.61
2790,Hungary,8/10/2021,60-69,78.85,76.87
2791,Hungary,8/10/2021,70-79,87.04,85.46
2792,Hungary,8/10/2021,80+,76.31,74.47
2793,Hungary,15/10/2021,18-24,50.57,47.12
2794,Hungary,15/10/2021,25-49,62.77,60.01
2795,Hungary,15/10/2021,50-59,72.91,70.82
2796,Hungary,15/10/2021,60-69,78.95,77.03
2797,Hungary,15/10/2021,70-79,87.13,85.59
2798,Hungary,15/10/2021,80+,76.42,74.65
2799,Hungary,22/10/2021,18-24,50.91,47.46
2800,Hungary,22/10/2021,25-49,62.83,60.07
2801,Hungary,22/10/2021,50-59,72.98,70.91
2802,Hungary,22/10/2021,60-69,78.99,77.08
2803,Hungary,22/10/2021,70-79,87.16,85.64
2804,Hungary,22/10/2021,80+,76.43,74.66
2805,Iceland,8/01/2021,18-24,0.31,0
2806,Iceland,8/01/2021,25-49,0.85,0
2807,Iceland,8/01/2021,50-59,0.82,0
2808,Iceland,8/01/2021,60-69,1.29,0
2809,Iceland,8/01/2021,70-79,2.52,0
2810,Iceland,8/01/2021,80+,18.31,0
2811,Iceland,15/01/2021,18-24,0.6,0
2812,Iceland,15/01/2021,25-49,1.44,0
2813,Iceland,15/01/2021,50-59,1.28,0
2814,Iceland,15/01/2021,60-69,1.75,0
2815,Iceland,15/01/2021,70-79,2.53,0
2816,Iceland,15/01/2021,80+,18.31,0
2817,Iceland,22/01/2021,18-24,0.77,0.26
2818,Iceland,22/01/2021,25-49,1.99,0.82
2819,Iceland,22/01/2021,50-59,2,0.82
2820,Iceland,22/01/2021,60-69,2.86,1.27
2821,Iceland,22/01/2021,70-79,5.83,2.28
2822,Iceland,22/01/2021,80+,34.58,18.01
2823,Iceland,29/01/2021,18-24,0.77,0.26
2824,Iceland,29/01/2021,25-49,2.03,0.83
2825,Iceland,29/01/2021,50-59,2.05,0.82
2826,Iceland,29/01/2021,60-69,2.91,1.28
2827,Iceland,29/01/2021,70-79,5.99,2.31
2828,Iceland,29/01/2021,80+,35.46,18.14
2829,Iceland,5/02/2021,18-24,0.83,0.26
2830,Iceland,5/02/2021,25-49,2.4,0.83
2831,Iceland,5/02/2021,50-59,2.49,0.83
2832,Iceland,5/02/2021,60-69,3.26,1.29
2833,Iceland,5/02/2021,70-79,6.58,2.33
2834,Iceland,5/02/2021,80+,44.71,18.35
2835,Iceland,12/02/2021,18-24,1.97,0.41
2836,Iceland,12/02/2021,25-49,2.8,1.28
2837,Iceland,12/02/2021,50-59,2.96,1.14
2838,Iceland,12/02/2021,60-69,3.58,1.59
2839,Iceland,12/02/2021,70-79,6.6,2.35
2840,Iceland,12/02/2021,80+,44.71,18.35
2841,Iceland,19/02/2021,18-24,2.88,0.64
2842,Iceland,19/02/2021,25-49,3.82,1.99
2843,Iceland,19/02/2021,50-59,4.21,2.05
2844,Iceland,19/02/2021,60-69,5.36,2.93
2845,Iceland,19/02/2021,70-79,6.95,5.7
2846,Iceland,19/02/2021,80+,46.14,35.15
2847,Iceland,26/02/2021,18-24,4.24,0.7
2848,Iceland,26/02/2021,25-49,4.75,2.35
2849,Iceland,26/02/2021,50-59,5.46,2.46
2850,Iceland,26/02/2021,60-69,6.35,3.29
2851,Iceland,26/02/2021,70-79,7.99,6.31
2852,Iceland,26/02/2021,80+,54.32,44.38
2853,Iceland,5/03/2021,18-24,5.46,0.7
2854,Iceland,5/03/2021,25-49,6.06,2.36
2855,Iceland,5/03/2021,50-59,6.93,2.48
2856,Iceland,5/03/2021,60-69,7.48,3.3
2857,Iceland,5/03/2021,70-79,8.37,6.33
2858,Iceland,5/03/2021,80+,93.75,44.55
2859,Iceland,12/03/2021,18-24,5.8,0.72
2860,Iceland,12/03/2021,25-49,6.56,2.38
2861,Iceland,12/03/2021,50-59,7.67,2.51
2862,Iceland,12/03/2021,60-69,9.23,3.38
2863,Iceland,12/03/2021,70-79,15.65,6.4
2864,Iceland,12/03/2021,80+,105.15,45.21
2865,Iceland,19/03/2021,18-24,5.8,0.85
2866,Iceland,19/03/2021,25-49,6.58,2.66
2867,Iceland,19/03/2021,50-59,7.72,2.92
2868,Iceland,19/03/2021,60-69,9.45,4.48
2869,Iceland,19/03/2021,70-79,31.08,7.6
2870,Iceland,19/03/2021,80+,105.99,52.37
2871,Iceland,26/03/2021,18-24,6.1,0.96
2872,Iceland,26/03/2021,25-49,7.11,2.87
2873,Iceland,26/03/2021,50-59,8.42,3.13
2874,Iceland,26/03/2021,60-69,10.04,5.1
2875,Iceland,26/03/2021,70-79,58.09,8.01
2876,Iceland,26/03/2021,80+,106.28,91.76
2877,Iceland,2/04/2021,18-24,6.41,1.07
2878,Iceland,2/04/2021,25-49,7.76,2.92
2879,Iceland,2/04/2021,50-59,9.22,3.19
2880,Iceland,2/04/2021,60-69,10.97,6.36
2881,Iceland,2/04/2021,70-79,71.98,14.91
2882,Iceland,2/04/2021,80+,106.48,103.22
2883,Iceland,9/04/2021,18-24,6.81,1.09
2884,Iceland,9/04/2021,25-49,8.4,2.95
2885,Iceland,9/04/2021,50-59,11.36,3.24
2886,Iceland,9/04/2021,60-69,18.03,6.57
2887,Iceland,9/04/2021,70-79,99.48,29.5
2888,Iceland,9/04/2021,80+,106.88,105.04
2889,Iceland,16/04/2021,18-24,7.23,1.35
2890,Iceland,16/04/2021,25-49,10.36,3.4
2891,Iceland,16/04/2021,50-59,14.28,3.86
2892,Iceland,16/04/2021,60-69,30.77,7.19
2893,Iceland,16/04/2021,70-79,102.32,31.28
2894,Iceland,16/04/2021,80+,107.02,105.67
2895,Iceland,23/04/2021,18-24,8.64,1.69
2896,Iceland,23/04/2021,25-49,13.15,4.1
2897,Iceland,23/04/2021,50-59,19.81,4.71
2898,Iceland,23/04/2021,60-69,41.17,7.88
2899,Iceland,23/04/2021,70-79,102.87,37.36
2900,Iceland,23/04/2021,80+,107.09,105.81
2901,Iceland,30/04/2021,18-24,9.8,1.99
2902,Iceland,30/04/2021,25-49,15.56,4.64
2903,Iceland,30/04/2021,50-59,36.13,5.92
2904,Iceland,30/04/2021,60-69,89.44,13.07
2905,Iceland,30/04/2021,70-79,104.2,39
2906,Iceland,30/04/2021,80+,107.32,105.86
2907,Iceland,7/05/2021,18-24,16.58,7.97
2908,Iceland,7/05/2021,25-49,26.16,11.09
2909,Iceland,7/05/2021,50-59,65.6,14.21
2910,Iceland,7/05/2021,60-69,92.25,26.38
2911,Iceland,7/05/2021,70-79,104.53,40.08
2912,Iceland,7/05/2021,80+,107.4,105.96
2913,Iceland,14/05/2021,18-24,18.21,9.85
2914,Iceland,14/05/2021,25-49,29.21,13.67
2915,Iceland,14/05/2021,50-59,70.19,18.02
2916,Iceland,14/05/2021,60-69,93.04,37.18
2917,Iceland,14/05/2021,70-79,104.76,40.5
2918,Iceland,14/05/2021,80+,107.46,106.06
2919,Iceland,21/05/2021,18-24,23.1,14.25
2920,Iceland,21/05/2021,25-49,35.9,19.32
2921,Iceland,21/05/2021,50-59,81.32,31.13
2922,Iceland,21/05/2021,60-69,93.6,40.22
2923,Iceland,21/05/2021,70-79,104.94,41
2924,Iceland,21/05/2021,80+,107.54,106.12
2925,Iceland,28/05/2021,18-24,24.74,17.25
2926,Iceland,28/05/2021,25-49,39.48,23.65
2927,Iceland,28/05/2021,50-59,83.55,38.85
2928,Iceland,28/05/2021,60-69,95.25,42.08
2929,Iceland,28/05/2021,70-79,105.96,43.25
2930,Iceland,28/05/2021,80+,107.59,106.18
2931,Iceland,4/06/2021,18-24,30.86,20.45
2932,Iceland,4/06/2021,25-49,48.49,28.19
2933,Iceland,4/06/2021,50-59,86.58,45.07
2934,Iceland,4/06/2021,60-69,96.57,42.91
2935,Iceland,4/06/2021,70-79,106.8,44.18
2936,Iceland,4/06/2021,80+,107.85,106.24
2937,Iceland,11/06/2021,18-24,53.34,30.4
2938,Iceland,11/06/2021,25-49,61.79,36.93
2939,Iceland,11/06/2021,50-59,87.87,51.48
2940,Iceland,11/06/2021,60-69,97.03,45.5
2941,Iceland,11/06/2021,70-79,107.08,80.31
2942,Iceland,11/06/2021,80+,107.94,106.59
2943,Iceland,18/06/2021,18-24,70.2,42.66
2944,Iceland,18/06/2021,25-49,73.64,48.71
2945,Iceland,18/06/2021,50-59,89.14,58.07
2946,Iceland,18/06/2021,60-69,97.24,48.14
2947,Iceland,18/06/2021,70-79,107.2,92.69
2948,Iceland,18/06/2021,80+,107.95,106.71
2949,Iceland,25/06/2021,18-24,80,53.58
2950,Iceland,25/06/2021,25-49,81.77,59.43
2951,Iceland,25/06/2021,50-59,90.9,60.96
2952,Iceland,25/06/2021,60-69,98.35,53.67
2953,Iceland,25/06/2021,70-79,107.92,98.19
2954,Iceland,25/06/2021,80+,108.21,107.18
2955,Iceland,2/07/2021,18-24,80.7,68.35
2956,Iceland,2/07/2021,25-49,82.23,72.16
2957,Iceland,2/07/2021,50-59,91.09,82.73
2958,Iceland,2/07/2021,60-69,98.54,92.45
2959,Iceland,2/07/2021,70-79,108.04,105.59
2960,Iceland,2/07/2021,80+,108.24,107.55
2961,Iceland,9/07/2021,18-24,82.21,76.58
2962,Iceland,9/07/2021,25-49,83.47,77.56
2963,Iceland,9/07/2021,50-59,91.54,87.54
2964,Iceland,9/07/2021,60-69,98.79,95.33
2965,Iceland,9/07/2021,70-79,108.13,106.41
2966,Iceland,9/07/2021,80+,108.32,107.67
2967,Iceland,16/07/2021,18-24,83.17,80.7
2968,Iceland,16/07/2021,25-49,84.27,82.12
2969,Iceland,16/07/2021,50-59,91.84,90.35
2970,Iceland,16/07/2021,60-69,98.95,98
2971,Iceland,16/07/2021,70-79,108.27,107.02
2972,Iceland,16/07/2021,80+,108.37,107.83
2973,Iceland,23/07/2021,18-24,83.44,81.32
2974,Iceland,23/07/2021,25-49,84.5,82.53
2975,Iceland,23/07/2021,50-59,91.88,90.55
2976,Iceland,23/07/2021,60-69,98.98,98.14
2977,Iceland,23/07/2021,70-79,108.3,107.08
2978,Iceland,23/07/2021,80+,108.4,107.83
2979,Iceland,30/07/2021,18-24,83.7,81.53
2980,Iceland,30/07/2021,25-49,85.02,82.76
2981,Iceland,30/07/2021,50-59,91.92,90.94
2982,Iceland,30/07/2021,60-69,99.01,98.25
2983,Iceland,30/07/2021,70-79,108.33,107.15
2984,Iceland,30/07/2021,80+,108.44,107.84
2985,Iceland,6/08/2021,18-24,84.04,81.86
2986,Iceland,6/08/2021,25-49,85.41,83.06
2987,Iceland,6/08/2021,50-59,92.02,91.08
2988,Iceland,6/08/2021,60-69,99.09,98.35
2989,Iceland,6/08/2021,70-79,108.36,107.2
2990,Iceland,6/08/2021,80+,108.49,107.86
2991,Iceland,13/08/2021,18-24,84.41,82.11
2992,Iceland,13/08/2021,25-49,85.79,83.27
2993,Iceland,13/08/2021,50-59,92.13,91.17
2994,Iceland,13/08/2021,60-69,99.16,98.39
2995,Iceland,13/08/2021,70-79,108.42,107.25
2996,Iceland,13/08/2021,80+,108.57,107.9
2997,Iceland,20/08/2021,18-24,84.9,82.93
2998,Iceland,20/08/2021,25-49,86.18,84.2
2999,Iceland,20/08/2021,50-59,92.27,91.37
3000,Iceland,20/08/2021,60-69,99.26,98.51
3001,Iceland,20/08/2021,70-79,108.48,107.35
3002,Iceland,20/08/2021,80+,108.7,107.96
3003,Iceland,27/08/2021,18-24,85.11,83.16
3004,Iceland,27/08/2021,25-49,86.35,84.49
3005,Iceland,27/08/2021,50-59,92.32,91.44
3006,Iceland,27/08/2021,60-69,99.29,98.58
3007,Iceland,27/08/2021,70-79,108.49,107.38
3008,Iceland,27/08/2021,80+,108.84,108.02
3009,Iceland,3/09/2021,18-24,85.22,83.4
3010,Iceland,3/09/2021,25-49,86.49,84.74
3011,Iceland,3/09/2021,50-59,92.37,91.51
3012,Iceland,3/09/2021,60-69,99.33,98.63
3013,Iceland,3/09/2021,70-79,108.52,107.44
3014,Iceland,3/09/2021,80+,108.86,108.05
3015,Iceland,10/09/2021,18-24,85.37,83.63
3016,Iceland,10/09/2021,25-49,86.62,85.02
3017,Iceland,10/09/2021,50-59,92.41,91.62
3018,Iceland,10/09/2021,60-69,99.35,98.69
3019,Iceland,10/09/2021,70-79,108.54,107.5
3020,Iceland,10/09/2021,80+,108.88,108.08
3021,Iceland,17/09/2021,18-24,85.47,83.82
3022,Iceland,17/09/2021,25-49,86.72,85.25
3023,Iceland,17/09/2021,50-59,92.44,91.7
3024,Iceland,17/09/2021,60-69,99.36,98.74
3025,Iceland,17/09/2021,70-79,108.55,107.56
3026,Iceland,17/09/2021,80+,108.88,108.13
3027,Iceland,24/09/2021,18-24,85.53,83.99
3028,Iceland,24/09/2021,25-49,86.8,85.42
3029,Iceland,24/09/2021,50-59,92.47,91.76
3030,Iceland,24/09/2021,60-69,99.36,98.79
3031,Iceland,24/09/2021,70-79,108.56,107.59
3032,Iceland,24/09/2021,80+,108.89,108.17
3033,Iceland,1/10/2021,18-24,85.58,84.15
3034,Iceland,1/10/2021,25-49,86.86,85.57
3035,Iceland,1/10/2021,50-59,92.48,91.81
3036,Iceland,1/10/2021,60-69,99.38,98.83
3037,Iceland,1/10/2021,70-79,108.57,107.61
3038,Iceland,1/10/2021,80+,108.9,108.19
3039,Iceland,8/10/2021,18-24,85.71,84.3
3040,Iceland,8/10/2021,25-49,86.95,85.7
3041,Iceland,8/10/2021,50-59,92.49,91.85
3042,Iceland,8/10/2021,60-69,99.4,98.85
3043,Iceland,8/10/2021,70-79,108.57,107.64
3044,Iceland,8/10/2021,80+,108.92,108.21
3045,Iceland,15/10/2021,18-24,85.8,84.41
3046,Iceland,15/10/2021,25-49,87.05,85.82
3047,Iceland,15/10/2021,50-59,92.52,91.91
3048,Iceland,15/10/2021,60-69,99.42,98.89
3049,Iceland,15/10/2021,70-79,108.58,107.65
3050,Iceland,15/10/2021,80+,108.92,108.22
3051,Ireland,8/01/2021,18-24,0.62,0
3052,Ireland,8/01/2021,25-49,1.78,0
3053,Ireland,8/01/2021,50-59,1.83,0
3054,Ireland,8/01/2021,60-69,0.92,0
3055,Ireland,8/01/2021,70-79,0.13,0
3056,Ireland,8/01/2021,80+,0.48,0
3057,Ireland,15/01/2021,18-24,1.16,0
3058,Ireland,15/01/2021,25-49,3.06,0
3059,Ireland,15/01/2021,50-59,3.53,0
3060,Ireland,15/01/2021,60-69,2.07,0
3061,Ireland,15/01/2021,70-79,0.81,0
3062,Ireland,15/01/2021,80+,3.88,0
3063,Ireland,22/01/2021,18-24,1.65,0.04
3064,Ireland,22/01/2021,25-49,4.03,0.14
3065,Ireland,22/01/2021,50-59,4.83,0.13
3066,Ireland,22/01/2021,60-69,3.13,0.05
3067,Ireland,22/01/2021,70-79,1.93,0
3068,Ireland,22/01/2021,80+,10.12,0.01
3069,Ireland,29/01/2021,18-24,1.73,0.61
3070,Ireland,29/01/2021,25-49,4.22,1.76
3071,Ireland,29/01/2021,50-59,5.05,1.82
3072,Ireland,29/01/2021,60-69,3.4,0.92
3073,Ireland,29/01/2021,70-79,2.21,0.12
3074,Ireland,29/01/2021,80+,10.31,0.43
3075,Ireland,5/02/2021,18-24,1.87,1.12
3076,Ireland,5/02/2021,25-49,4.5,2.95
3077,Ireland,5/02/2021,50-59,5.37,3.38
3078,Ireland,5/02/2021,60-69,3.6,1.96
3079,Ireland,5/02/2021,70-79,2.28,0.71
3080,Ireland,5/02/2021,80+,10.5,3.43
3081,Ireland,12/02/2021,18-24,2.21,1.15
3082,Ireland,12/02/2021,25-49,5.26,3.11
3083,Ireland,12/02/2021,50-59,6.4,3.56
3084,Ireland,12/02/2021,60-69,4.35,2.07
3085,Ireland,12/02/2021,70-79,2.75,0.75
3086,Ireland,12/02/2021,80+,11.73,3.48
3087,Ireland,19/02/2021,18-24,2.78,1.63
3088,Ireland,19/02/2021,25-49,6.03,4.04
3089,Ireland,19/02/2021,50-59,7.36,4.82
3090,Ireland,19/02/2021,60-69,4.99,3.08
3091,Ireland,19/02/2021,70-79,3.02,1.76
3092,Ireland,19/02/2021,80+,21.21,9.09
3093,Ireland,26/02/2021,18-24,3.55,1.74
3094,Ireland,26/02/2021,25-49,7.17,4.27
3095,Ireland,26/02/2021,50-59,8.82,5.1
3096,Ireland,26/02/2021,60-69,6.05,3.41
3097,Ireland,26/02/2021,70-79,4.3,2.08
3098,Ireland,26/02/2021,80+,43.39,9.49
3099,Ireland,5/03/2021,18-24,4.13,1.85
3100,Ireland,5/03/2021,25-49,8.06,4.5
3101,Ireland,5/03/2021,50-59,9.94,5.38
3102,Ireland,5/03/2021,60-69,7.03,3.58
3103,Ireland,5/03/2021,70-79,7.26,2.18
3104,Ireland,5/03/2021,80+,66.72,9.82
3105,Ireland,12/03/2021,18-24,4.84,1.95
3106,Ireland,12/03/2021,25-49,9.08,4.72
3107,Ireland,12/03/2021,50-59,11.28,5.72
3108,Ireland,12/03/2021,60-69,8.22,3.92
3109,Ireland,12/03/2021,70-79,10.19,2.65
3110,Ireland,12/03/2021,80+,86.42,11.22
3111,Ireland,19/03/2021,18-24,4.95,2.01
3112,Ireland,19/03/2021,25-49,9.2,4.84
3113,Ireland,19/03/2021,50-59,11.47,5.89
3114,Ireland,19/03/2021,60-69,8.53,4.09
3115,Ireland,19/03/2021,70-79,16.15,2.92
3116,Ireland,19/03/2021,80+,99.3,20.58
3117,Ireland,26/03/2021,18-24,5.74,2.06
3118,Ireland,26/03/2021,25-49,10.23,4.92
3119,Ireland,26/03/2021,50-59,13.02,6.02
3120,Ireland,26/03/2021,60-69,10.37,4.32
3121,Ireland,26/03/2021,70-79,28.91,4.12
3122,Ireland,26/03/2021,80+,103.04,42.41
3123,Ireland,2/04/2021,18-24,6.56,2.09
3124,Ireland,2/04/2021,25-49,11.16,4.97
3125,Ireland,2/04/2021,50-59,14.42,6.1
3126,Ireland,2/04/2021,60-69,12.36,4.54
3127,Ireland,2/04/2021,70-79,43.18,7.06
3128,Ireland,2/04/2021,80+,105.23,65.68
3129,Ireland,9/04/2021,18-24,7.18,2.11
3130,Ireland,9/04/2021,25-49,11.91,5
3131,Ireland,9/04/2021,50-59,15.83,6.16
3132,Ireland,9/04/2021,60-69,14.63,4.68
3133,Ireland,9/04/2021,70-79,58.92,9.8
3134,Ireland,9/04/2021,80+,106.03,84.64
3135,Ireland,16/04/2021,18-24,7.33,2.14
3136,Ireland,16/04/2021,25-49,12.24,5.05
3137,Ireland,16/04/2021,50-59,16.67,6.22
3138,Ireland,16/04/2021,60-69,17.7,4.82
3139,Ireland,16/04/2021,70-79,84.71,15.78
3140,Ireland,16/04/2021,80+,106.65,97.41
3141,Ireland,23/04/2021,18-24,7.75,2.18
3142,Ireland,23/04/2021,25-49,13.06,5.13
3143,Ireland,23/04/2021,50-59,19.09,6.33
3144,Ireland,23/04/2021,60-69,30.27,5.05
3145,Ireland,23/04/2021,70-79,101.29,28.35
3146,Ireland,23/04/2021,80+,107.03,101.2
3147,Ireland,30/04/2021,18-24,8.63,2.2
3148,Ireland,30/04/2021,25-49,14.8,5.17
3149,Ireland,30/04/2021,50-59,23.94,6.41
3150,Ireland,30/04/2021,60-69,48.53,5.28
3151,Ireland,30/04/2021,70-79,104.71,42.22
3152,Ireland,30/04/2021,80+,107.35,103.61
3153,Ireland,7/05/2021,18-24,9.59,2.24
3154,Ireland,7/05/2021,25-49,16.6,5.25
3155,Ireland,7/05/2021,50-59,28.56,6.65
3156,Ireland,7/05/2021,60-69,75.12,6.01
3157,Ireland,7/05/2021,70-79,105.52,57.75
3158,Ireland,7/05/2021,80+,107.52,104.39
3159,Ireland,14/05/2021,18-24,10.54,2.4
3160,Ireland,14/05/2021,25-49,18.26,5.55
3161,Ireland,14/05/2021,50-59,46.77,7.49
3162,Ireland,14/05/2021,60-69,90.43,8.44
3163,Ireland,14/05/2021,70-79,106.05,83.51
3164,Ireland,14/05/2021,80+,107.64,105.08
3165,Ireland,21/05/2021,18-24,11.72,2.94
3166,Ireland,21/05/2021,25-49,20.48,6.49
3167,Ireland,21/05/2021,50-59,75.89,16.24
3168,Ireland,21/05/2021,60-69,93.85,11.5
3169,Ireland,21/05/2021,70-79,106.33,96.9
3170,Ireland,21/05/2021,80+,107.71,105.4
3171,Ireland,28/05/2021,18-24,13.22,4.68
3172,Ireland,28/05/2021,25-49,25.74,9.74
3173,Ireland,28/05/2021,50-59,87.84,25.48
3174,Ireland,28/05/2021,60-69,95.64,14.34
3175,Ireland,28/05/2021,70-79,106.56,99.6
3176,Ireland,28/05/2021,80+,107.78,105.64
3177,Ireland,4/06/2021,18-24,14.69,6.48
3178,Ireland,4/06/2021,25-49,33.01,12.7
3179,Ireland,4/06/2021,50-59,92.22,33.01
3180,Ireland,4/06/2021,60-69,96.67,16.95
3181,Ireland,4/06/2021,70-79,106.72,100.35
3182,Ireland,4/06/2021,80+,107.84,105.81
3183,Ireland,11/06/2021,18-24,15.96,7.77
3184,Ireland,11/06/2021,25-49,40.78,14.76
3185,Ireland,11/06/2021,50-59,93.67,46.45
3186,Ireland,11/06/2021,60-69,97.15,20.15
3187,Ireland,11/06/2021,70-79,106.82,100.92
3188,Ireland,11/06/2021,80+,107.87,105.93
3189,Ireland,18/06/2021,18-24,17.21,10.21
3190,Ireland,18/06/2021,25-49,45.33,18.61
3191,Ireland,18/06/2021,50-59,94.36,69.78
3192,Ireland,18/06/2021,60-69,97.54,29.8
3193,Ireland,18/06/2021,70-79,106.93,102.94
3194,Ireland,18/06/2021,80+,107.91,106.05
3195,Ireland,25/06/2021,18-24,18.71,12.53
3196,Ireland,25/06/2021,25-49,50.54,23.48
3197,Ireland,25/06/2021,50-59,95.04,83.81
3198,Ireland,25/06/2021,60-69,98.06,47.43
3199,Ireland,25/06/2021,70-79,107.04,105.15
3200,Ireland,25/06/2021,80+,107.95,106.17
3201,Ireland,2/07/2021,18-24,20.45,14.18
3202,Ireland,2/07/2021,25-49,56.69,30.04
3203,Ireland,2/07/2021,50-59,95.56,88.37
3204,Ireland,2/07/2021,60-69,98.43,67.27
3205,Ireland,2/07/2021,70-79,107.13,105.89
3206,Ireland,2/07/2021,80+,107.98,106.27
3207,Ireland,9/07/2021,18-24,26.29,19.1
3208,Ireland,9/07/2021,25-49,62.65,38.43
3209,Ireland,9/07/2021,50-59,96.06,91.97
3210,Ireland,9/07/2021,60-69,98.81,87.21
3211,Ireland,9/07/2021,70-79,107.2,106.3
3212,Ireland,9/07/2021,80+,108.02,106.32
3213,Ireland,16/07/2021,18-24,34.78,26.26
3214,Ireland,16/07/2021,25-49,70.59,47.01
3215,Ireland,16/07/2021,50-59,96.46,94.35
3216,Ireland,16/07/2021,60-69,99.08,96.59
3217,Ireland,16/07/2021,70-79,107.27,106.5
3218,Ireland,16/07/2021,80+,108.06,106.38
3219,Ireland,23/07/2021,18-24,49.29,32.95
3220,Ireland,23/07/2021,25-49,78.78,53.73
3221,Ireland,23/07/2021,50-59,96.82,95.07
