ID,location,date,vaccine,total_vaccinations
147,Austria,17/09/2021,Oxford/AstraZeneca,1595048
148,Austria,17/09/2021,Pfizer/BioNTech,7436417
149,Austria,24/09/2021,Johnson&Johnson,304806
150,Austria,24/09/2021,Moderna,1022966
151,Austria,24/09/2021,Oxford/AstraZeneca,1596506
152,Austria,24/09/2021,Pfizer/BioNTech,7489680
153,Austria,1/10/2021,Johnson&Johnson,312057
154,Austria,1/10/2021,Moderna,1025459
155,Austria,1/10/2021,Oxford/AstraZeneca,1597503
156,Austria,1/10/2021,Pfizer/BioNTech,7539418
157,Austria,8/10/2021,Johnson&Johnson,315931
158,Austria,8/10/2021,Moderna,1027927
159,Austria,8/10/2021,Oxford/AstraZeneca,1598290
160,Austria,8/10/2021,Pfizer/BioNTech,7590550
161,Austria,15/10/2021,Johnson&Johnson,318438
162,Austria,15/10/2021,Moderna,1030238
163,Austria,15/10/2021,Oxford/AstraZeneca,1598995
164,Austria,15/10/2021,Pfizer/BioNTech,7637211
165,Austria,22/10/2021,Johnson&Johnson,319648
166,Austria,22/10/2021,Moderna,1031374
167,Austria,22/10/2021,Oxford/AstraZeneca,1599464
168,Austria,22/10/2021,Pfizer/BioNTech,7665740
169,Belgium,8/01/2021,Johnson&Johnson,0
170,Belgium,8/01/2021,Moderna,0
171,Belgium,8/01/2021,Oxford/AstraZeneca,0
172,Belgium,8/01/2021,Pfizer/BioNTech,28071
173,Belgium,15/01/2021,Johnson&Johnson,0
174,Belgium,15/01/2021,Moderna,38
175,Belgium,15/01/2021,Oxford/AstraZeneca,0
176,Belgium,15/01/2021,Pfizer/BioNTech,126980
177,Belgium,22/01/2021,Johnson&Johnson,0
178,Belgium,22/01/2021,Moderna,4512
179,Belgium,22/01/2021,Oxford/AstraZeneca,0
180,Belgium,22/01/2021,Pfizer/BioNTech,244817
181,Belgium,29/01/2021,Johnson&Johnson,0
182,Belgium,29/01/2021,Moderna,6208
183,Belgium,29/01/2021,Oxford/AstraZeneca,0
184,Belgium,29/01/2021,Pfizer/BioNTech,334565
185,Belgium,5/02/2021,Johnson&Johnson,0
186,Belgium,5/02/2021,Moderna,15986
187,Belgium,5/02/2021,Oxford/AstraZeneca,0
188,Belgium,5/02/2021,Pfizer/BioNTech,463738
189,Belgium,12/02/2021,Johnson&Johnson,0
